Unnamed: 0,id,sku,short_description,price,list_price,discount,discount_rate,rating_average,review_count,quantity_sold,inventory_status,product_name,brand_id,brand_name
5,124742926,4409272649267,MacBook Air (13 inch)Mạnh mẽ vươn tới thành công. Mà nhẹ bỗng.MacBook Air. Với chip M1.MacBook Air. Sức mạnh cho học tập.Vô cùng gọn nhẹ. Vô cùng mạnh mẽ cho việc học.Nội dung quảng cáoMacBook A...,18290000,29990000,11700000,39,5.0,848,2860,available,MacBook Air (13 inch)Mạnh mẽ vươn tới thành công. Mà nhẹ bỗng.MacBook Air. Với chip M1.MacBook Air. Sức mạnh cho học tập.Vô cùng gọn nhẹ. Vô cùng mạnh mẽ cho việc học.Nội dung quảng cáoMacBook A...,17827,Apple
6,108924121,9546440966387,"Đánh giá Laptop Dell Latitude 3520 (70251603) chính hãng, cấu hình caoSức mạnh tuyệt đối đến từ CPU Intel thế hệ 11 Tiger LakeXuất hiện liên tục với các laptop siêu mỏng nhẹ với chứng chỉ Evo của I...",10150000,10150000,0,0,5.0,3,5,available,"Đánh giá Laptop Dell Latitude 3520 (70251603) chính hãng, cấu hình caoSức mạnh tuyệt đối đến từ CPU Intel thế hệ 11 Tiger LakeXuất hiện liên tục với các laptop siêu mỏng nhẹ với chứng chỉ Evo của I...",18805,Dell
7,191659040,6394306507794,"CPUAMD Ryzen 7 5800U Processor (1.90 GHz, 16MB Cache, Up to 4.40 GHz, 8 Cores 16 Threads)Memory8GB LPDDR4x Bus 4266MHz Memory OnboardHard Disk512GB PCIe NVMe M.2 SSDVGAAMD Radeon Graphics Vega...",15150000,15150000,0,0,5.0,7,14,available,"CPUAMD Ryzen 7 5800U Processor (1.90 GHz, 16MB Cache, Up to 4.40 GHz, 8 Cores 16 Threads)Memory8GB LPDDR4x Bus 4266MHz Memory OnboardHard Disk512GB PCIe NVMe M.2 SSDVGAAMD Radeon Graphics Vega...",18604,Lenovo
9,146563301,5497658587484,"THÔNG SỐ KỸ THUẬTCPU10th Generation Intel Core i3 _ 1005G1 Processor ( 1.20 GHz, 4M Cache, Up to 3.40 GHz)Memory4GB DDr4 Bus 2666Mhz Onboard (1 x Slot RAM)Hard Disk256GB PCIe NVMe M.2...",7650000,7650000,0,0,5.0,2,8,available,"THÔNG SỐ KỸ THUẬTCPU10th Generation Intel Core i3 _ 1005G1 Processor ( 1.20 GHz, 4M Cache, Up to 3.40 GHz)Memory4GB DDr4 Bus 2666Mhz Onboard (1 x Slot RAM)Hard Disk256GB PCIe NVMe M.2...",18604,Lenovo
15,179403775,1737830135119,"Laptop Acer Aspire 3 A314 35 P3G9 (NX.A7SSV.007) là chiếc máy phù hợp với học sinh, sinh viên với thiết kế mỏng nhẹ và hiệu năng ổn định của chip Intel và card tích hợp trên máy đáp ứng tốt các nhu c...",10188000,10188000,0,0,0.0,0,3,available,"Laptop Acer Aspire 3 A314 35 P3G9 (NX.A7SSV.007) là chiếc máy phù hợp với học sinh, sinh viên với thiết kế mỏng nhẹ và hiệu năng ổn định của chip Intel và card tích hợp trên máy đáp ứng tốt các nhu c...",18803,Acer
16,143022294,5748219392977,Laptop gaming tốt nhất phân khúcLaptop Acer Aspire 7 A715-42G-R05G là chiếc laptop gaming 2021 được tích hợp rất nhiều sức mạnh vào khung máy. Với NVIDIA graphic GTX 1650 mới nhất giúp tăng khả năng ...,17520000,17520000,0,0,0.0,0,0,available,Laptop gaming tốt nhất phân khúcLaptop Acer Aspire 7 A715-42G-R05G là chiếc laptop gaming 2021 được tích hợp rất nhiều sức mạnh vào khung máy. Với NVIDIA graphic GTX 1650 mới nhất giúp tăng khả năng ...,18803,Acer
17,180396084,3674775482662,"Lenovo ThinkBook 14s Yoga ITL (20WE007PVN) là chiếc laptop sở hữu phong cách thiết kế cao cấp cùng hiệu năng vượt trội đến từ chip Intel gen 11 sẵn sàng đáp ứng mọi nhu cầu học tập, làm việc đến giải ...",29775600,29775600,0,0,0.0,0,0,available,"Lenovo ThinkBook 14s Yoga ITL (20WE007PVN) là chiếc laptop sở hữu phong cách thiết kế cao cấp cùng hiệu năng vượt trội đến từ chip Intel gen 11 sẵn sàng đáp ứng mọi nhu cầu học tập, làm việc đến giải ...",18604,Lenovo
18,179167744,2656114310580,Laptop Acer Aspire A315-56-58EG NX.HS5SV.00J (Core i5 1035G1/ 4Gb/ 256Gb SSD/ 15.6Inch Full HD - IPS/VGA ON/Win11/Black).Acer Aspire A315 là dòng laptop phù hợp cho rất nhiều đối tượng bởi những ưu đ...,13788000,13788000,0,0,0.0,0,0,available,Laptop Acer Aspire A315-56-58EG NX.HS5SV.00J (Core i5 1035G1/ 4Gb/ 256Gb SSD/ 15.6Inch Full HD - IPS/VGA ON/Win11/Black).Acer Aspire A315 là dòng laptop phù hợp cho rất nhiều đối tượng bởi những ưu đ...,18803,Acer
19,155831428,6833776781066,"Thiết kế tinh tếLaptop Dell Vostro 15 3510 7T2YC2 sở hữu thiết kế đơn giản nhưng vẫn rất tinh tế với màu đen tuyền toàn bộ máy, các góc cạnh hơi bo tròn mềm mại, cắt vát tinh tế. Máy có kết cấu chắc ...",20990000,20990000,0,0,4.0,1,3,available,"Thiết kế tinh tếLaptop Dell Vostro 15 3510 7T2YC2 sở hữu thiết kế đơn giản nhưng vẫn rất tinh tế với màu đen tuyền toàn bộ máy, các góc cạnh hơi bo tròn mềm mại, cắt vát tinh tế. Máy có kết cấu chắc ...",18805,Dell
20,70692002,1826287332738,"Thiết kế gọn nhẹ, tiện dụngLaptop Dell Vostro 3405 V4R53500U003W có thiết kế chắc chắn với tông màu đen sang trọng, cứng cáp. Sản phẩm có trọng lượng nhẹ, kích thước nhỏ gọn, để bạn dễ dàng mang theo...",11550000,11550000,0,0,5.0,2,5,available,"Thiết kế gọn nhẹ, tiện dụngLaptop Dell Vostro 3405 V4R53500U003W có thiết kế chắc chắn với tông màu đen sang trọng, cứng cáp. Sản phẩm có trọng lượng nhẹ, kích thước nhỏ gọn, để bạn dễ dàng mang theo...",18805,Dell
