id,sku,short_description,price,list_price,discount,discount_rate,rating_average,review_count,quantity_sold,inventory_status,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
271046571,5969003526113,"Vẻ ngoài thời trang cùng màu sắc mới mẻRedmi Note 12 được tạo hình bằng một vẻ ngoài quen thuộc với các cạnh cùng hai mặt vát phẳng tinh tế, những vị trí giao nhau giữa mặt lưng và bộ khung cũng sẽ đ...",3790000,4530000,740000,16,5.0,89,994.0,available,1000,1000,Điện thoại Xiaomi Redmi Note 12 (8GB/128GB) - Hàng chính hãng,25422,Xiaomi
173387789,3214054442334,"Độ phân giải màn hình cực caoMáy đọc sách All New Kindle Oasis 3 với màn hình 7 inch và mật độ ảnh 300 ppi, văn bản hiển thị trên thiết bị với chất lượng sắc nét, đọc như giấy thật ngay cả trong ánh ...",5790000,5790000,0,0,4.5,13,55.0,available,1000,1000,Máy đọc sách All New Kindle Oasis 3 - Hàng nhập khẩu,147856,Kindle
201067649,6927586640656, ...,3760000,4100000,340000,8,5.0,106,501.0,available,1000,1000,Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,147856,Kindle
273947792,1790024126641,Điện thoại Samsung Galaxy S24 Ultra 5G- Hàng chính hãngMàn hình với độ sáng thích ứng lớn nhất lên đến 2600 nitMặt kính Corning Gorilla Armor giúp giảm phản xạ và cải thiện độ sắc nét của hình ảnh...,27490000,34490000,7000000,20,5.0,2,417.0,available,1000,1000,"Điện thoại AI Samsung Galaxy S24 Ultra, Camera 200MP Zoom 100x, S Pen - Hàng Chính Hãng",18802,Samsung
217645692,6487670580863,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,3980000,3980000,0,0,5.0,2,14.0,available,1000,1000,Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - 16Gb và Bao da - Hàng nhập khẩu,147856,Kindle
184036446,9320936798992,"Nội dung về tính năngQuay video 4K, chụp ảnh chân dung tuyệt đẹp và chụp phong cảnh rộng với hệ thống camera kép hoàn toàn mới. Chụp ảnh tối ưu trong điều kiện ánh sáng yếu với chế độ Ban Đêm. Xem ản...",9990000,12990000,3000000,23,4.8,2988,13979.0,available,1000,1000,Apple iPhone 11,17827,Apple
184059211,3643515408223,iPhone 13. Hệ thống camera kép tiên tiến nhất từng có trên iPhone. Chip A15 Bionic thần tốc. Bước nhảy vọt về thời lượng pin. Thiết kế bền bỉ. Mạng 5G siêu nhanh.1 Cùng với màn hình Super Retina XDR s...,13990000,25990000,12000000,46,5.0,1852,5804.0,available,1000,1000,Apple iPhone 13,17827,Apple
183330021,7453477983299,"Nội dung quảng cáoMạnh mẽ. Dễ sử dụng. Linh hoạt. iPad có màn hình Retina 10.2 inch tuyệt đẹp, chip A13 Bionic mạnh mẽ, camera trước Ultra Wide có tính năng Trung Tâm Màn Hình, tương thích với Apple ...",6990000,10990000,4000000,36,5.0,957,3302.0,available,1000,1000,"Apple iPad 10.2-inch (9th Gen) Wi-Fi, 2021",17827,Apple
57809866,6693737306374,"Màn hình giọt nước, viền máy mỏngĐiện thoại Xiaomi Redmi 9A sở hữu một màn hình tràn viền kích thước cực lớn 6.53 inch với thiết kế theo kiểu giọt nước quen thuộc, đi theo xu hướng chung của những mẫ...",1690000,2490000,800000,32,4.7,847,6185.0,available,1000,1000,Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,25422,Xiaomi
125182567,4604296397887,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,3690000,3690000,0,0,5.0,386,1419.0,available,1000,1000,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,147856,Kindle
217640502,8360230896751,"Đọc và viết tự nhiên như khi làm trên giấyVới màn hình E-ink 10,2 inch, độ phân giải 300 ppi chống lóa. Kindle Scribe hoàn hảo để đọc và viết, ngay cả dưới ánh sáng mặt trời. Màn hình lớn cung cấp ch...",12590000,12590000,0,0,0.0,0,5.0,available,1000,1000,Máy đọc sách Kindle Scribe - Hàng chính hãng,147856,Kindle
214756058,5239906950205,"Sản phẩm đầu tiên thuộc dòng basic có độ phân giải 300ppiMáy đọc sách New Kindle 11th 2022 (16GB) được nâng cấp với màn hình độ phân giải 300ppi (so với 167ppi) của đời trước, cổng kết nối USB-Type C...",2920000,2920000,0,0,0.0,0,1.0,available,1000,1000,Máy đọc sách New Kindle 11th 2022 (16GB) - Hàng chính hãng,147856,Kindle
125182567,4604296397887,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,3690000,3690000,0,0,5.0,386,1419.0,available,1000,1000,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,147856,Kindle
252586291,8259108068504,  Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite ...,3976200,4230000,253800,6,5.0,100,473.0,available,1000,1000,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng chính hãng,147856,Kindle
217706932,8671886696124,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,3970000,3980000,10000,0,5.0,123,469.0,available,1000,1000,Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da - Hàng nhập khẩu,147856,Kindle
