id,sku,short_description,price,list_price,discount,discount_rate,rating_average,review_count,quantity_sold,inventory_status,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
222529881,6084650718079,"ASUS ExpertBook B1400 được thiết kế dành cho doanh nghiệp, khiến đây là lựa chọn thông minh cho các startup tham vọng, những tổ chức giáo dục uy tín và các công ty đang phát triển ở mọi quy mô. Sản ph...",14590000,19500000,4910000,25,0.0,0,1.0,available,1000.0,1000.0,Laptop Asus ExpertBook B1400 - B1400CEAE-EK3724 (Chip Intel Core i5-1135G7 | RAM 8GB | SSD 256GB NVMe | 14' Full HD | Bảo mật vân tay | Bảo mật TPM 2.0 | Độ bền chuẩn quân đội US) - Hàng Chính Hãng,17826,Asus
183743642,9808599804519,"Đặc điểm nổi bật Laptop Cũ Lenovo ThinkPad L460 Core i5 6200U Ram8Gb SSD 240Gb Intel HD Graphics 520 MH 14.0 HDThiết kếCác sản phẩm máy tính xách tay mới, thuộc dòng Lenovo ThinkPad Series luôn có v...",4205000,6250000,2045000,33,4.6,8,24.0,available,1000.0,1000.0,"Lenovo ThinkPad L460 (Intel Core i5 6300 , RAM 8.0GB, 1x180GB SSD SATA III, Intel HD 520, MÀN HÌNH 14 INCH Tặng cặp + chuột không dây + bàn di chuột - HÀNG CHÍNH HÃNG",18604,Lenovo
106318753,9403513241479,"Thiết kế sang trọngLaptop Dell Latitude 3420 L3420I5SSD được thiết kế đơn giản, sang trọng với  vỏ ngoài được phủ sơn màu đen và các cạnh bên được vát mỏng, các đường nét góc cạnh được bo tròn gọn gà...",14590000,19900000,5310000,27,5.0,1,2.0,available,1000.0,1000.0,Máy tính xách tay Laptop Dell Latitude 3420 (Intel Core i5-1135G7 | 14 Inch | RAM 8GB | 256GB SSD NVMe | Intel Iris Xe Graphics | Fedora Os) - Hàng chính hãng,18805,Dell
273716533,7358286623584,"Primed to perform. Configured for your businessPacked with business-friendly features and power, ASUS ExpertBook B1 is the ideal choice for ambitious firms and inspirational educational institutions....",14490000,18890000,4400000,23,0.0,0,,available,1000.0,1000.0,Laptop Asus Expertbook B1502CBA B1502 (Intel Core i5-1235U | RAM 8GB | 512GB SSD | Intel UHD Graphics | 15.6 inch Full HD | Win 11 bản quyền) - Hàng Chính Hãng,17826,Asus
247719163,5731047077291,"ASUS ExpertBook B1400 được thiết kế dành cho doanh nghiệp, khiến đây là lựa chọn thông minh cho các startup tham vọng, những tổ chức giáo dục uy tín và các công ty đang phát triển ở mọi quy mô. Sản ph...",15190000,19999000,4809000,24,5.0,1,5.0,available,1000.0,1000.0,Laptop Asus ExpertBook B1400 (Chip Intel Core i5-1235U | RAM 8GB | SSD 512GB NVMe | 14' Full HD | Bảo mật vân tay | Bảo mật TPM 2.0 | Độ bền chuẩn quân đội US) - Hàng Chính Hãng,17826,Asus
124742926,4409272649267,MacBook Air (13 inch)Mạnh mẽ vươn tới thành công. Mà nhẹ bỗng.MacBook Air. Với chip M1.MacBook Air. Sức mạnh cho học tập.Vô cùng gọn nhẹ. Vô cùng mạnh mẽ cho việc học.Nội dung quảng cáoMacBook A...,17990000,24990000,7000000,28,5.0,848,2857.0,available,1000.0,1000.0,MacBook Air M1 13 inch 2020,17827,Apple
108924121,9546440966387,"Đánh giá Laptop Dell Latitude 3520 (70251603) chính hãng, cấu hình caoSức mạnh tuyệt đối đến từ CPU Intel thế hệ 11 Tiger LakeXuất hiện liên tục với các laptop siêu mỏng nhẹ với chứng chỉ Evo của I...",10150000,10150000,0,0,5.0,3,5.0,available,1000.0,1000.0,Laptop Dell Latitude 3520 70251603 (Core i3-1115G4/ 4 GB/ 256GB SSD/ 15.6HD/ Fedora) - Hàng Chính Hãng,18805,Dell
191659040,6394306507794,"CPUAMD Ryzen 7 5800U Processor (1.90 GHz, 16MB Cache, Up to 4.40 GHz, 8 Cores 16 Threads)Memory8GB LPDDR4x Bus 4266MHz Memory OnboardHard Disk512GB PCIe NVMe M.2 SSDVGAAMD Radeon Graphics Vega...",15150000,15150000,0,0,5.0,7,14.0,available,1000.0,1000.0,Laptop Lenovo ThinkBook 13s G3 ACN (20YA0039VN) | AMD Ryzen 7 5800U | 8GB | 512GB SSD | 13.3 inch IPS | Win 11 | Hàng chính hãng,18604,Lenovo
183743642,9808599804519,"Đặc điểm nổi bật Laptop Cũ Lenovo ThinkPad L460 Core i5 6200U Ram8Gb SSD 240Gb Intel HD Graphics 520 MH 14.0 HDThiết kếCác sản phẩm máy tính xách tay mới, thuộc dòng Lenovo ThinkPad Series luôn có v...",4205000,6250000,2045000,33,4.6,8,24.0,available,1000.0,1000.0,"Lenovo ThinkPad L460 (Intel Core i5 6300 , RAM 8.0GB, 1x180GB SSD SATA III, Intel HD 520, MÀN HÌNH 14 INCH Tặng cặp + chuột không dây + bàn di chuột - HÀNG CHÍNH HÃNG",18604,Lenovo
146563301,5497658587484,"THÔNG SỐ KỸ THUẬTCPU10th Generation Intel Core i3 _ 1005G1 Processor ( 1.20 GHz, 4M Cache, Up to 3.40 GHz)Memory4GB DDr4 Bus 2666Mhz Onboard (1 x Slot RAM)Hard Disk256GB PCIe NVMe M.2...",7650000,7650000,0,0,5.0,2,8.0,available,1000.0,1000.0,LapTop Lenovo V14 IIL (82C400W0VN) | Intel Core i3 _ 1005G1 | 4GB | 256GB SSD PCIe | Win 10 | 14 inch HD | Hàng Chính Hãng,18604,Lenovo
270443386,7942854210162,Không chỉ tập trung vào những mẫu laptop thuộc phân khúc cao cấp phục vụ cho gaming. Asus cũng tập trung vào phân khúc người dùng phổ thông. Đem đến các lựa chọn máy tính xách tay có cấu hình ổn định ...,16999000,22150000,5151000,23,0.0,0,,available,1000.0,1000.0,Laptop Asus ExpertBook B1500 (Chip Intel Core i5-1235U | RAM 16GB | SSD 512GB NVMe | 15.6' Full HD | Bảo mật vân tay | Bảo mật TPM 2.0 | Độ bền chuẩn quân đội US) - Hàng Chính Hãng,17826,Asus
273949286,7246814409532,"ExpertBook B1 (B1502, 13th Gen Intel) Được sinh ra để tỏa sáng. Được cấu hình phù hợp với doanh nghiệp của bạn.Được sinh ra để tỏa sáng.Được cấu hình phù hợp với doanh nghiệp của bạnĐược trang bị ...",16490000,22900000,6410000,28,0.0,0,,available,1000.0,1000.0,Laptop Asus Expertbook B1502 - B1502CV (Intel Core i5-1335U | RAM 8GB | 512GB SSD | Intel UHD Graphics | 15.6 inch Full HD | Win 11 bản quyền) - Hàng Chính Hãng,17826,Asus
274643985,5870061941518,"ASUS ExpertBook B1400 được thiết kế dành cho doanh nghiệp, khiến đây là lựa chọn thông minh cho các startup tham vọng, những tổ chức giáo dục uy tín và các công ty đang phát triển ở mọi quy mô. Sản ph...",17190000,22100000,4910000,22,0.0,0,,available,1000.0,1000.0,Máy vi tính Laptop Asus ExpertBook B1400 (Chip Intel Core i5-1235U | RAM 16GB | SSD 512GB NVMe | 14' Full HD | Bảo mật vân tay | Bảo mật TPM 2.0 | Độ bền chuẩn quân đội US) - Hàng Chính Hãng ,17826,Asus
186272654,1007007686117,"Lenovo Thinkpad X1 Carbon Thế Hệ 5 Core i5 – 7300U / Ram 8G / SSD 256Gb / 14 “FHDCó thể nói Lenovo Thinkpad ngày càng được săn đón,xứng tầm với các đối thủ như Dell, HP Envy,… Với thiết kế khá đặc tr...",6500000,6500000,0,0,0.0,0,6.0,available,1000.0,1000.0,Lenovo Thinkpad X1 Carbon Thế Hệ 5 Core i5 – 7300U / Ram 8G / SSD 256Gb / 14 “FHD / SIÊU MỎNG - SIÊU NHANH - HÀNG CHÍNH HÃNG,18604,Lenovo
179403775,1737830135119,"Laptop Acer Aspire 3 A314 35 P3G9 (NX.A7SSV.007) là chiếc máy phù hợp với học sinh, sinh viên với thiết kế mỏng nhẹ và hiệu năng ổn định của chip Intel và card tích hợp trên máy đáp ứng tốt các nhu c...",10188000,10188000,0,0,0.0,0,3.0,available,1000.0,1000.0,Laptop Acer Aspire 3 A314 35 P3G9 N6000/4GB/256GB/Win11 - Hàng Chính Hãng,18803,Acer
143022294,5748219392977,Laptop gaming tốt nhất phân khúcLaptop Acer Aspire 7 A715-42G-R05G là chiếc laptop gaming 2021 được tích hợp rất nhiều sức mạnh vào khung máy. Với NVIDIA graphic GTX 1650 mới nhất giúp tăng khả năng ...,17520000,17520000,0,0,0.0,0,,available,1000.0,1000.0,"Laptop Acer Aspire 7 A715-42G-R05G (AMD R5-5500U/ 8GB DDR4/ 512GB SSD/ GTX 1650 4GB/ 15.6 FHD IPS, 144Hz/ Win11) - Hàng Chính Hãng",18803,Acer
180396084,3674775482662,"Lenovo ThinkBook 14s Yoga ITL (20WE007PVN) là chiếc laptop sở hữu phong cách thiết kế cao cấp cùng hiệu năng vượt trội đến từ chip Intel gen 11 sẵn sàng đáp ứng mọi nhu cầu học tập, làm việc đến giải ...",29775600,29775600,0,0,0.0,0,,available,1000.0,1000.0,"Laptop Lenovo ThinkBook 14s Yoga ITL i7 1165G7/8GB/512GB/14""F/Touch/Pen/Win11/(20WE007PVN)/Xám - Hàng chính hãng",18604,Lenovo
179167744,2656114310580,Laptop Acer Aspire A315-56-58EG NX.HS5SV.00J (Core i5 1035G1/ 4Gb/ 256Gb SSD/ 15.6Inch Full HD - IPS/VGA ON/Win11/Black).Acer Aspire A315 là dòng laptop phù hợp cho rất nhiều đối tượng bởi những ưu đ...,13788000,13788000,0,0,0.0,0,,available,1000.0,1000.0,"Laptop Acer Aspire A315-56-58EG (NX.HS5SV.00J) Black/ Intel i5 1035G1 (up to 3.6GHz, 6MB)/ RAM 4GB/ 256GB SSD/ 15.6inch FHD/ Win 11- Hàng chính hãng",18803,Acer
155831428,6833776781066,"Thiết kế tinh tếLaptop Dell Vostro 15 3510 7T2YC2 sở hữu thiết kế đơn giản nhưng vẫn rất tinh tế với màu đen tuyền toàn bộ máy, các góc cạnh hơi bo tròn mềm mại, cắt vát tinh tế. Máy có kết cấu chắc ...",20990000,20990000,0,0,4.0,1,3.0,available,1000.0,1000.0,Laptop Dell Vostro 15 3510 7T2YC2 (Core i5-1135G7/ 8GB DDR4/ 512GB SSD/ 15.6 FHD/ Win11 + Office) - Hàng Chính Hãng,18805,Dell
70692002,1826287332738,"Thiết kế gọn nhẹ, tiện dụngLaptop Dell Vostro 3405 V4R53500U003W có thiết kế chắc chắn với tông màu đen sang trọng, cứng cáp. Sản phẩm có trọng lượng nhẹ, kích thước nhỏ gọn, để bạn dễ dàng mang theo...",11550000,11550000,0,0,5.0,2,5.0,available,1000.0,1000.0,Laptop Dell Vostro 3405 V4R53500U003W (AMD R5-3500U/ 8GB (1x8GB) DDR4 2400Mhz/ 512SSD M2 PCIe NVMe/ 14 FHD/ Win10) - Hàng Chính Hãng,18805,Dell
